"COMPbase","2013-03-25232841","pauligiraldo"
"gamma-L-Glutamyl-L-cysteinyl-beta-alanine","cpd:C04544",""
"tRNA containing 2'-O-methylguanosine","cpd:C04545",""
"(R)-3-((R)-3-Hydroxybutanoyloxy)butanoate","cpd:C04546","ko00650"
"1,2-Bis(4-hydroxy-3-methoxyphenyl)ethylene","cpd:C04547",""
"Synephrine; (+/-)-Synephrine; 1-(4-Hydroxyphenyl)-2-(methylamino)ethanol","cpd:C04548",""
"1-Phosphatidyl-1D-myo-inositol 3-phosphate; 1,2-Diacyl-sn-glycero-3-phospho-(1'-myo-inositol-3'-phosphate)","cpd:C04549","ko00562;ko01100;ko04070;ko04140;ko04144;ko04145;ko05152"
"Chrysosplenol D; 3',4',5-Trihydroxy-3,6,7-trimethoxyflavone","cpd:C04552",""
"3-Carboxy-2,5-dihydro-5-oxofuran-2-acetate; 4-Carboxy-2,5-dihydro-2-oxofuran-5-acetate","cpd:C04553","ko00362"
"3alpha,7alpha-Dihydroxy-5beta-cholestanate; 3alpha,7alpha-Dihydroxy-5beta-cholestanoate","cpd:C04554","ko00120;ko01100"
"Dehydroepiandrosterone sulfate; 3beta-Hydroxyandrost-5-en-17-one 3-sulfate; DHEA sulfate","cpd:C04555","ko00140;ko04976"
"4-Amino-2-methyl-5-phosphomethylpyrimidine; 4-Amino-5-phosphomethyl-2-methylpyrimidine","cpd:C04556","ko00730;ko01100"
"3-Methylmuconolactone; 4-Carboxymethyl-3-methylbut-2-en-1,4-olide","cpd:C04558","ko00623;ko01120"
"4-Methylmuconolactone; 4-Carboxymethyl-4-methylbut-2-en-1,4-olide","cpd:C04559","ko00623;ko01120"
"Benzyl (2R,3S)-2-methyl-3-hydroxybutanoate","cpd:C04561",""
"Benzyl (2S,3S)-2-methyl-3-hydroxybutanoate","cpd:C04562",""
"D-myo-Inositol 1,2,4,5,6-pentakisphosphate; 1D-myo-Inositol 1,2,4,5,6-pentakisphosphate; myo-Inositol 1,2,4,5,6-pentakisphosphate; Inositol 1,2,4,5,6-pentakisphosphate","cpd:C04563","ko00562"
"[Isocitrate dehydrogenase (NADP+)] phosphate","cpd:C04564",""
"Low-density lipoprotein O-phospho-L-serine","cpd:C04565",""
"Membrane-derived-oligosaccharide D-glucose","cpd:C04566",""
"Reduced electron-transferring flavoprotein; Reduced electron-transfer flavoprotein","cpd:C04570",""
"S-(N-Hydroxy-N-methylcarbamoyl)glutathione","cpd:C04572",""
"UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate; UDP-N-acetyl-D-glucosaminuronate; UDP-N-acetyl-2-amino-2-deoxy-alpha-D-glucuronate","cpd:C04573","ko00520"
"di-trans,poly-cis-Undecaprenyl diphosphate; Undecaprenyl diphosphate; Bactoprenyl diphosphate; ditrans,octacis-Undecaprenyl diphosphate","cpd:C04574","ko00550;ko00900;map01062;ko01110"
"(4R,5S)-4,5,6-Trihydroxy-2,3-dioxohexanoate; 2,3-Diketo-L-gulonate","cpd:C04575","ko00040;ko00053"
"Pentagalloylglucose; 1,2,3,4,6-Pentakis-O-galloyl-beta-D-glucose; Pentagalloyl-beta-D-glucose","cpd:C04576","map01061"
"15-OxoETE; (5Z,8Z,11Z,13E)-15-Oxoicosa-5,8,11,13-tetraenoic acid; 15-Oxo-5,8,11-cis-13-trans-eicosatetraenoate; 15-Oxo-5,8,11-cis-13-trans-icosatetraenoate","cpd:C04577","ko00590"
"16-Methoxy-2,3-dihydro-3-hydroxytabersonine","cpd:C04578","ko00901"
"Inositol 1,2,3,5,6-pentakisphosphate; myo-Inositol 1,2,3,5,6-pentakisphosphate; 1D-myo-Inositol 1,2,3,5,6-pentakisphosphate; 1L-myo-Inositol 1,2,3,4,5-pentakisphosphate","cpd:C04579","ko00562"
"2-Deoxy-2,3-dehydro-N-acetylneuraminic acid","cpd:C04580",""
"Tomentin; 3',4',5,6-Tetrahydroxy-3,7-dimethoxyflavone","cpd:C04581",""
"S-Methyl-5-thio-D-ribulose 1-phosphate","cpd:C04582","ko00270;ko01100"
"6-Hydroxyl-1,6-dihydropurine ribonucleoside; (6R)-1,6-dihydro-Inosine","cpd:C04583",""
"6-Imino-5-oxocyclohexa-1,3-dienecarboxylate","cpd:C04584",""
"Diethyl (2R,3R)-2-methyl-3-hydroxysuccinate","cpd:C04586",""
"Diethyl (2S,3R)-2-methyl-3-hydroxysuccinate","cpd:C04587",""
"UDP-N-acetyl-D-galactosamine 4,6-bissulfate","cpd:C04589",""
"sn-3-O-(Geranylgeranyl)glycerol 1-phosphate","cpd:C04590",""
"Toluene-cis-dihydrodiol; (1S,2R)-3-Methylcyclohexa-3,5-diene-1,2-diol","cpd:C04592","ko00623;ko01120;ko01220"
"(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate; Methylisocitrate; Methylisocitric acid","cpd:C04593","ko00640"
"(9Z)-(13S)-12,13-Epoxyoctadeca-9,11-dienoic acid; (9Z)-(13S)-12,13-Epoxyoctadeca-9,11-dienoate; 13(S)-EOD","cpd:C04594",""
"1,1-Dichloro-2,2-bis(4-chlorophenyl)ethylene; 1,1-Dichloro-2,2-bis(4'-chlorophenyl)ethylene; DDE","cpd:C04596","ko00351;ko01100;ko01120"
"1,2-Bis(3,4-dimethoxyphenyl)propane-1,3-diol; 1,2-Bis(3,4-dimethoxyphenyl)-1,3-propanediol","cpd:C04597",""
"2-Acetyl-1-alkyl-sn-glycero-3-phosphocholine; Platelet-activating factor; PAF","cpd:C04598","ko00565;ko01100;ko04080;ko05310"
"1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine; MPTP","cpd:C04599","ko05012"
"3-Hydroxy-2-methylpyridine-4,5-dicarboxylate","cpd:C04604","ko00750"
"5-(3,4-Diacetoxybut-1-ynyl)-2,2'-bithiophene","cpd:C04606",""
"Apigenin 7-O-beta-D-glucoside; 7-O-beta-D-Glucosyl-5,7,4'-trihydroxyflavone; Apigenin 7-O-glucoside; Apigetrin; 7-(beta-D-Glucopyranosyloxy)-5-hydroxy-2-(4-hydroxyphenyl)-4H-1-benzopyran-4-one; Cosmetin; Cosmosiin","cpd:C04608","ko00944"
"Indol-3-ylacetyl-myo-inositol L-arabinoside","cpd:C04611",""
"UDP-2-acetamido-4-dehydro-2,6-dideoxyglucose; UDP-2-acetamido-2,6-dideoxy-alpha-D-xylo-4-hexulose","cpd:C04613",""
"alpha-D-Mannosyl-1,3-(R1)-beta-D-mannosyl-R2; 3-(alpha-D-Mannosyl)-beta-D-mannosyl-R","cpd:C04614",""
"alpha-D-Mannosylchitobiosyldiphosphodolichol","cpd:C04615",""
"(1S,2S)-1-Hydroxypropane-1,2,3-tricarboxylate; D-erythro-Isocitric acid","cpd:C04617",""
"(3R)-3-Hydroxybutanoyl-[acyl-carrier protein]; (R)-3-Hydroxybutanoyl-[acyl-carrier protein]","cpd:C04618","ko00061;ko01100"
"(3R)-3-Hydroxydecanoyl-[acyl-carrier protein]; (R)-3-Hydroxydecanoyl-[acyl-carrier protein]","cpd:C04619","ko00061;ko01100"
"(3R)-3-Hydroxyoctanoyl-[acyl-carrier protein]; (R)-3-Hydroxyoctanoyl-[acyl-carrier protein]","cpd:C04620","ko00061;ko01100"
"(E)-2-(2-Furyl)-3-(5-nitro-2-furyl)acrylamide","cpd:C04621",""
"(Z)-2-(2-Furyl)-3-(5-nitro-2-furyl)acrylamide","cpd:C04622",""
"DDT; 1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane; 1,1,1-Trichloro-2,2-bis-(4'-chlorophenyl)ethane; Clofenotane; Dichlorodiphenyltrichloroethane","cpd:C04623","ko00351;ko01100;ko01120"
"2,4-Dichloro-2,5-dihydro-5-oxofuran-2-acetate; 3,5-Dichloro-2,5-dihydro-2-oxofuran-5-acetate","cpd:C04625",""
"D-Galactosyl-N-acetyl-alpha-D-galactosaminide","cpd:C04627",""
"Coenzyme B; N-(7-Mercaptoheptanoyl)threonine 3-O-phosphate; N-(7-Mercaptoheptanoyl)threonine O3-phosphate; HTP","cpd:C04628","ko00680;ko01100;ko01120"
"UDP-2-acetamido-4-amino-2,4,6-trideoxyglucose; UDP-4-amino-4,6-dideoxy-alpha-N-acetyl-D-glucosamine","cpd:C04630",""
"UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine; UDP-N-acetyl-3-O-(1-carboxyvinyl)-D-glucosamine; UDP-N-acetylglucosamine-3-O-pyruvateether; UDP-N-acetylglucosamine enolpyruvate; UDP-N-acetyl-3-O-(1-carboxyvinyl)-alpha-D-glucosamine","cpd:C04631","ko00520;ko00550;ko01100"
"[Hydroxymethylglutaryl-CoA reductase (NADPH)]","cpd:C04632",""
"(3R)-3-Hydroxypalmitoyl-[acyl-carrier protein]; (R)-3-Hydroxypalmitoyl-[acyl-carrier protein]; (3R)-3-Hydroxyhexadecanoyl-[acyl-carrier protein]; (R)-3-Hydroxyhexadecanoyl-[acyl-carrier protein]","cpd:C04633","ko00061;ko01100"
"1,6-Dihydroxycyclohexa-2,4-diene-1-carboxylate; 1,2-Dihydroxycyclohexa-3,5-diene-1-carboxylate","cpd:C04634",""
"1-(1-Alkenyl)-sn-glycero-3-phosphoethanolamine; 1-Alkenylglycerophosphoethanolamine","cpd:C04635","ko00565;ko01100"
"1-Acyl-2-linoleoyl-sn-glycero-3-phosphocholine","cpd:C04636",""
"1-Phosphatidyl-D-myo-inositol 4,5-bisphosphate; 1-Phosphatidyl-1D-myo-inositol 4,5-bisphosphate; Phosphatidyl-myo-inositol 4,5-bisphosphate; Phosphatidylinositol-4,5-bisphosphate; 1,2-Diacyl-sn-glycero-3-phospho-(1'-myo-inositol-4',5'-bisphosphate)","cpd:C04637","ko00562;ko01100;ko04070;ko04144;ko04151;ko04510;ko04666;ko04670;ko04725;ko04810;ko05131;ko05132"
"2,3-Bis-O-(geranylgeranyl)glycerol 1-phosphate; 2,3-Bis-O-(geranylgeranyl)-sn-glycerol-1-phosphate; 2,3-Digeranylgeranyl sn-glycerol 1-phosphate","cpd:C04638",""
"2,4-Dioxotetrahydropyrimidine D-ribonucleotide","cpd:C04639",""
"2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine; 1-(5'-Phosphoribosyl)-N-formylglycinamidine; 5'-Phosphoribosyl-N-formylglycinamidine; 5'-Phosphoribosylformylglycinamidine; 2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine","cpd:C04640","ko00230;ko01100;ko01110"
"2-(alpha-D-Galactosyl)-sn-glycerol 3-phosphate","cpd:C04641",""
"2-Hydroxy-5-carboxymethylmuconate semialdehyde; 5-Carboxymethyl-2-hydroxymuconate semialdehyde; 5-Carboxymethyl-2-hydroxymuconic semialdehyde","cpd:C04642","ko00350;ko01120"
"3alpha,12alpha-Dihydroxy-7-oxo-5beta-cholanate","cpd:C04643",""
"3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA","cpd:C04644",""
"6-(D-Glucose-1-phospho)-D-mannosylglycoprotein; Glycoprotein 6-(D-glucose-1-phospho)-D-mannose","cpd:C04645",""
"6-Thioinosine-5'-monophosphate; 9-(5-Phospho-1-ribofuranosyl)-6-mercaptopurine","cpd:C04646","ko00983"
"alpha-L-Fucosyl-1,2-beta-D-galactoside; Glycoprotein alpha-L-fucosyl-(1,2)-D-galactose; Glycolipid alpha-L-fucosyl-1,2-beta-D-galactose; alpha-L-Fucosyl-(1->2)-D-galactosyl-R","cpd:C04648",""
"Heparan sulfate N-acetyl-alpha-D-glucosaminide","cpd:C04649",""
"L-2-Amino-4-(hydroxymethylphosphinyl)butanoate","cpd:C04650",""
"UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine; UDP-2,3-bis(beta-hydroxymyristoyl)-D-glucosamine; UDP-2,3-bis(3-hydroxytetradecanoyl)-D-glucosamine; UDP-2,3-bis[O-(3R)-3-hydroxymyristoyl]-alpha-D-glucosamine","cpd:C04652","ko00540;ko01100"
"(13E)-11alpha-Hydroxy-9,15-dioxoprost-13-enoate","cpd:C04654",""
"(2S,3S)-2-Hydroxytridecane-1,2,3-tricarboxylate","cpd:C04655",""
"1,3-beta-D-Galactosyl-N-acetyl-D-glucosaminyl-R","cpd:C04656",""
"1,4-beta-D-Galactosyl-N-acetyl-D-glucosaminyl-R; 1,4-beta-Galactosyl-N-acetyl-D-glucosaminyl-R","cpd:C04657",""
"3'-Deoxydihydrostreptomycin 6,3''-bis-phosphate","cpd:C04660",""
"3alpha,7alpha,12beta-Trihydroxy-5beta-cholanate; 3alpha,7alpha,12beta-Trihydroxy-5beta-cholanic acid","cpd:C04661",""
"4-Deoxy-alpha-L-erythro-hex-4-enopyranuronoside","cpd:C04662",""
"5-Amino-1-ribofuranosylimidazole-4-carboxyamide","cpd:C04663",""
"Co-Methyl-Co-5-hydroxybenzimidazolylcobamide","cpd:C04665",""
"D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate; D-erythro-Imidazole-glycerol 3-phosphate; D-erythro-Imidazole-glycerol phosphate","cpd:C04666","ko00340;map01065;ko01100;ko01110"
"N-Acetyl-D-glucosaminyl-poly(ribitol phosphate)","cpd:C04667",""
"(1S,4S)-4-Hydroxy-3-oxocyclohexane-1-carboxylate","cpd:C04670",""
"(5Z)-(15S)-11alpha-Hydroxy-9,15-dioxoprostanoate","cpd:C04671",""
"(9Z,15Z)-(13S)-12,13-Epoxyoctadeca-9,11,15-trienoic acid; (9Z,15Z)-(13S)-12,13-Epoxyoctadeca-9,11,15-trienoate; (9Z)-(13S)-12,13-Epoxyoctadeca-9,11,15-trienoate; 12,13(S)-EOT; 12,13(S)-EOTrE","cpd:C04672","ko00592;ko01100"
"1D-1-Guanidino-1-deoxy-3-dehydro-scyllo-inositol; Amidino-3-keto-scyllo-inosamine","cpd:C04673","ko00521;ko01110"
"3-D-Glucuronosyl-N2,6-disulfo-beta-D-glucosamine","cpd:C04674",""
"3-Hydroxy-3-(4-methylpent-3-en-1-yl)glutaryl-CoA; 3-Hydroxy-3-isohexeneylglutaryl-CoA","cpd:C04675","ko00281;ko01110"
"Testololactone; 3-Oxo-13,17-secoandrost-4-ene-17,13alpha-lactone","cpd:C04676","ko00140"
"1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide; 5'-Phosphoribosyl-5-amino-4-imidazolecarboxamide; 5'-Phospho-ribosyl-5-amino-4-imidazole carboxamide; AICAR; 5-Aminoimidazole-4-carboxamide ribotide; 5-Phosphoribosyl-4-carbamoyl-5-aminoimidazole; 5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide","cpd:C04677","ko00230;ko00340;map01060;map01065;ko01100;ko01110;ko04150"
"Dolichyl N-acetyl-alpha-D-glucosaminyl phosphate","cpd:C04678",""
"Protein N6-[(R)-4-amino-2-hydroxybutyl]-L-lysine; [eIF5A-precursor]-hypusine","cpd:C04679",""
"Retinyl-ester-(cellular-retinol-binding-protein)","cpd:C04680",""
"[Acetyl-CoA:carbon-dioxide ligase (ADP-forming)]; Holo-[acetyl-CoA:carbon-dioxide ligase (ADP-forming)]; Biotin-[acetyl-CoA:carbon-dioxide ligase (ADP-forming)]; Holo-[acetyl-CoA carboxylase]; Biotin-[acetyl-CoA carboxylase]","cpd:C04681",""
"[Methylmalonyl-CoA:pyruvate carboxytransferase]; Holo-[methylmalonyl-CoA:pyruvate carboxytransferase]; Biotin-[methylmalonyl-CoA:pyruvate carboxytransferase]; Holo-[methylmalonyl-CoA-carboxyltransferase]; Biotin-[methylmalonyl-CoA-carboxyltransferase]","cpd:C04682",""
"alpha-N-Acetylneuraminyl-2,3-beta-D-galactosyl-R","cpd:C04683",""
"m-Carboxyphenyl phenylacetamidomethylphosphonate","cpd:C04684",""
"(13E)-(15S)-15-Hydroxy-9-oxoprosta-10,13-dienoate; Prostaglandin A1; PGA1","cpd:C04685",""
"(13E)-(15S)-15-Hydroxy-9-oxoprosta-11,13-dienoate; Prostaglandin C1","cpd:C04686",""
"(1S,3R,4S)-3,4-Dihydroxycyclohexane-1-carboxylate","cpd:C04687",""
"(3R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]; (R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]; beta-Hydroxymyristyl-[acyl-carrier protein]; HMA","cpd:C04688","ko00061;ko01100"
"2-(Hydroxymethyl)-3-(acetamidomethylene)succinate; 2-(Acetamidomethylene)-3-(hydroxymethyl)succinate","cpd:C04690","ko00750"
"2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate; 3-Deoxy-D-arabino-hept-2-ulosonate 7-phosphate; 3-Deoxy-arabino-heptulonate 7-phosphate; 3-Deoxy-D-arabino-heptulosonic acid 7-phosphate; DAHP; 2-Dahp","cpd:C04691","ko00400;map01070;ko01100;ko01110"
"Peptide 2-[3-carboxy-3-(methylammonio)propyl]-L-histidine; 2-[3-Carboxy-3-(methylammonio)propyl]-L-histidine; EF-2 2-[3-carboxy-3-(methylammonio)propyl]-L-histidine; Elongation factor 2 2-[3-carboxy-3-(methylammonio)propyl]-L-histidine","cpd:C04692",""
"5-O-(Indol-3-ylacetyl-myo-inositol) D-galactoside","cpd:C04695",""
"7-Methylguanosine 5'-triphospho-5'-polynucleotide","cpd:C04696",""
"Methyl-2-alpha-L-fucopyranosyl-beta-D-galactoside","cpd:C04698",""
"UDP-N-acetylmuramoyl-L-alanyl-alpha-D-glutamyl-L-lysine","cpd:C04700",""
"UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala); UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine; UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysyl-D-alanyl-D-alanine","cpd:C04702","ko00550;ko01100"
"alpha-D-Galactosyl-(1,1')-sn-glycerol 3-phosphate; 1-O-alpha-D-Galactosyl-sn-glycerol 3-phosphate","cpd:C04703",""
"cis-2-Chloro-4-carboxymethylenebut-2-en-1,4-olide; cis-2-Chlorodienelactone; cis-4-Carboxymethylene-2-chlorobut-2-en-4-olide","cpd:C04706","ko00361;ko01100;ko01120"
"(5Z,13E)-11alpha-Hydroxy-9,15-dioxoprost-13-enoate; (5Z)-(15S)-11alpha-Hydroxy-9,15-dioxoprosta-13-enoate","cpd:C04707",""
"1-(beta-D-Galactosyl)-2-(2-hydroxyacyl)sphingosine","cpd:C04708",""
"3'-Deoxydihydrostreptomycin 3'alpha,6-bisphosphate","cpd:C04709",""
"5-(3-Hydroxy-4-acetoxybut-1-ynyl)-2,2'-bithiophene","cpd:C04711",""
"(7R)-7-(5-Carboxy-5-oxopentanoyl)aminocephalosporinate","cpd:C04712","ko00311"
"N6-(delta2-Isopentenyl)-adenosine 5'-monophosphate; N6-(Dimethylallyl)adenosine 5'-phosphate; Isopentenyl-AMP","cpd:C04713","ko00908"
"alpha-D-Galactosyl-beta-D-galactosyldiacylglycerol; 1,3-Diacyl-2-O-(alpha-D-galactosyl(1->4)-O-beta-D-galactosyl)-sn-glycerol","cpd:C04714",""
"Nuatigenin; (20S,22S,25S)-22,25-Epoxyfurost-5-ene-3beta,26-diol","cpd:C04715",""
"(9Z,11E)-(13S)-13-Hydroperoxyoctadeca-9,11-dienoic acid; (9Z,11E)-(13S)-13-Hydroperoxyoctadeca-9,11-dienoate; 13(S)-HPODE; 13S-Hydroperoxy-9Z,11E-octadecadienoic acid","cpd:C04717","ko00591;ko01100"
"1,6,6-Trimethyl-2,7-dioxabicyclo[3.2.2]nonan-3-one","cpd:C04718","ko00902"
"1-Hydroxy-2-(beta-D-glucosyloxy)-9,10-anthraquinone","cpd:C04719",""
"DIMBOA; 2,4-Dihydroxy-7-methoxy-2H-1,4-benzoxazin-3(4H)-one; 2,4-Dihydroxy-7-methoxy-1,4-benzoxazin-3-one","cpd:C04720",""
"3alpha,12alpha-Dihydroxy-5beta-cholan-24-oylglycine","cpd:C04721",""
"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate; 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oate; 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanate","cpd:C04722","ko00120;ko01100"
"D-Mannosyl-L-rhamnosyl-D-galactose-1-diphospholipid; alpha-D-Mannosyl-(1->4)-alpha-L-rhamnosyl-(1->3)-alpha-D-galactosyl-diphosphoundecaprenol","cpd:C04724",""
"Oligosaccharide containing 6-methyl-D-glucose units; 1,4-alpha-D-Glucooligosaccharide containing 6-O-methyl-D-glucose units","cpd:C04725",""
"[3-Methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring)]; [3-Methyl-2-oxobutanoate dehydrogenase (lipoamide)]","cpd:C04726",""
"[Propionyl-CoA:carbon-dioxide ligase (ADP-forming)]; [Propanoyl-CoA:carbon-dioxide ligase (ADP-forming)]; Holo-[propionyl-CoA:carbon-dioxide ligase (ADP-forming)]; Biotin-[propionyl-CoA:carbon-dioxide ligase (ADP-forming)]; Holo-[propionyl-CoA-carboxylase (ATP-hydrolysing)]; Biotin-[propionyl-CoA-carboxylase (ATP-hydrolysing)]","cpd:C04727",""
"tRNA containing 5-methylaminomethyl-2-thiouridylate; tRNA containing mnm5s2U","cpd:C04728",""
"trans-2-Chloro-4-carboxymethylenebut-2-en-1,4-olide; trans-2-Chlorodienelactone","cpd:C04729","ko00361;ko01100;ko01120"
"GM3; (N-Acetylneuraminyl)-D-galactosyl-D-glucosylceramide; alpha-N-Acetylneuraminyl-2,3-beta-D-galactosyl-1,4-beta-D-glucosylceramide; N-Acetylneuraminyl-2,3-alpha-D-galactosyl-1,4-beta-D-glucosylceramide; Neu5Ac-alpha2->3Gal-beta1->4Glc-beta1->1'Cer","cpd:C04730",""
"1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine N-oxide","cpd:C04731",""
"5-Amino-6-(1-D-ribitylamino)uracil; 5-amino-6-(D-ribitylamino)uracil; 6-(1-D-Ribitylamino)-5-amino-2,4-dihydroxypyrimidine; 6-(1-D-Ribitylamino)-5-aminouracil; 4-(1-D-Ribitylamino)-5-amino-2,6-dihydroxypyrimidine","cpd:C04732","ko00680;ko00740;ko01100;ko01120"
"4-(4-Deoxy-beta-D-gluc-4-enuronosyl)-D-galacturonate","cpd:C04733",""
"1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide; 5'-Phosphoribosyl-5-formamido-4-imidazolecarboxamide; 5-Formamido-1-(5-phosphoribosyl)imidazole-4-carboxamide; 5-Formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide; FAICAR","cpd:C04734","ko00230;map01060;map01065;ko01100;ko01110"
"Apo-[acetyl-CoA:carbon-dioxide ligase (ADP-forming)]; Apo-[acetyl-CoA carboxylase]","cpd:C04735",""
"Apo-[methylmalonyl-CoA:pyruvate carboxytransferase]; Apo-[methylmalonyl-CoA-carboxyltransferase]","cpd:C04736",""
"alpha-D-Galactosyl-(1->4)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide; Globotriosylceramide; Trihexosylceramide; Gal-alpha1->4Gal-beta1->4Glc-beta1->1'Cer; Gal-alpha1->4LacCer; D-Galactosyl-1,4-D-galactosyl-1,4-D-glucosylceramide","cpd:C04737","ko05131"
"UDP-3-O-(3-hydroxytetradecanoyl)-N-acetylglucosamine; UDP-3-O-(beta-hydroxymyristoyl)-N-acetylglucosamine; UDP-3-O-[(3R)-3-hydroxymyristoyl]-N-acetylglucosamine","cpd:C04738","ko00540;ko01100"
"UDP-N-acetyl-6-(alpha-D-galactose-1-phospho)-alpha-D-glucosamine; UDP-N-acetyl-6-(D-galactose-1-phospho)-D-glucosamine","cpd:C04739",""
"alpha-N-Acetylneuraminyl-2,6-beta-galactosyl-1,4-beta-D-glucosylceramide; Neu5Ac-alpha2->6Gal-beta1->4Glc-beta1->1'Cer","cpd:C04740",""
"Alprostadil; Prostaglandin E1; (13E)-(15S)-11alpha,15-Dihydroxy-9-oxoprost-13-enoate; PGE1","cpd:C04741",""
"(15S)-15-Hydroxy-5,8,11-cis-13-trans-eicosatetraenoate; (15S)-15-Hydroxy-5,8,11-cis-13-trans-icosatetraenoate; (5Z,8Z,11Z,13E)-(15S)-15-Hydroxyicosa-5,8,11,13-tetraenoic acid; 15(S)-HETE","cpd:C04742","ko00590"
"2,6-Diamino-4-hydroxy-5-(N-methyl)formamidopyrimidine","cpd:C04744",""
"3beta-Hydroxy-5alpha-cholest-7-ene-4alpha-carboxylate","cpd:C04746",""
"[Citrate-oxaloacetate-lyase((pro-3S)-CH2COO-->acetate)]","cpd:C04747",""
"Protein C-terminal S-farnesyl-L-cysteine methyl ester","cpd:C04748","ko00900"
"[[Hydroxymethylglutaryl-CoA reductase (NADPH)]kinase]","cpd:C04749",""
"beta-D-Galactosyl-1,3-N-acetyl-alpha-D-galactosaminyl-R; beta-D-Galactosyl-1,3-N-acetyl-D-galactosaminyl-R; Glycoprotein D-galactosyl-1,3-N-acetyl-D-galactosamine","cpd:C04750",""
"1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate; 1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxylate; 1-(5'-Phosphoribosyl)-5-amino-4-carboxyimidazole; 5'-Phosphoribosyl-5-amino-4-imidazolecarboxylate; 1-(5'-Phosphoribosyl)-4-carboxy-5-aminoimidazole; 5'-Phosphoribosyl-4-carboxy-5-aminoimidazole; 5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate","cpd:C04751","ko00230;ko01100;ko01110"
"2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate; 4-Amino-2-methyl-5-diphosphomethylpyrimidine","cpd:C04752","ko00730;ko01100"
"Glycoprotein N-acetyl-D-glucosaminyl-phospho-D-mannose","cpd:C04755",""
"O-1-Alk-1-enyl-2-acyl-sn-glycero-3-phosphoethanolamine; Phosphatidalethanolamine; Plasmenylethanolamine; Ethanolamineplasmalogen; 2-Acyl-1-(1-alkenyl)-sn-glycero-3-phosphoethanolamine; 1-Alkenyl-2-acylglycerophosphoethanolamine","cpd:C04756","ko00565;ko01100"
"(5Z,13E)-9alpha-Hydroxy-11,15-dioxoprosta-5,13-dienoate; 15-Dehydro-prostaglandin D2","cpd:C04758",""
"1,2-D-Glucosyl-5-D-(galactosyloxy)-L-lysine-procollagen; Procollagen alpha-D-glucosyl-1,2-beta-D-galactosyl-L-hydroxylysine","cpd:C04759",""
"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoyl-CoA","cpd:C04760",""
"Apo-[propionyl-CoA:carbon-dioxide ligase (ADP-forming)]; Apo-[propionyl-CoA-carboxylase (ATP-hydrolysing)]","cpd:C04763",""
"O-1,4-alpha-L-Dihydrostreptosyl-streptidine 6-phosphate","cpd:C04767","ko00521;ko01110"
"[Hydroxymethylglutaryl-CoA reductase (NADPH)] phosphate","cpd:C04768",""
"L-Mimosine; Leucenol; (S)-2-Amino-3-(3-hydroxy-4-oxo-4H-pyridin-1-yl)propanoate","cpd:C04771",""
"1,6-alpha-D-Mannosyl-1,6-alpha-D-mannosyloligosaccharide","cpd:C04772",""
"3-Hydroxy-4-hydroxymethyl-2-methylpyridine-5-carboxylate; 5-Pyridoxate; 5-Pyridoxic acid","cpd:C04773","ko00750"
"D-Galactosyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-R; D-Galactosyl-1,3-beta-D-galactosyl-1,4-beta-D-glucosyl-R; beta-D-Galactosyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-R","cpd:C04775",""
"Peptide beta-D-galactosyl-(1->3)-N-acetyl-alpha-D-galactosaminyl-L-serine; T antigen","cpd:C04776",""
